"Offer ID","Created On","Offer Name","Categories","Cities","Merchant Name","Type","UPCs","IIDs","Price","Sales","Qty Sold","Qty Avl","Status"
"4932","2017-05-19 00:00:00","Rock City Grill eGift","Thank You;
Graduation;
$15 Gift Cards;
Restaurants;
Congratulations;
$25 Gift Cards;
Friend;
$100 Gift Cards;
$10 Gift Cards;
Housewarming;
$20 Gift Cards;
Christmas;
Easter;
$50 Gift Cards;
eGift Cards","Bakers Plus","Rock City Grill","Gift Card Offer","07675016402","71884","Variable (5-250);
Fixed
25;50;75;100;200","0","0","Unlimited","LIVE"
"4932","2017-05-19 00:00:00","Rock City Grill eGift","Thank You;
Graduation;
$15 Gift Cards;
Restaurants;
Congratulations;
$25 Gift Cards;
Friend;
$100 Gift Cards;
$10 Gift Cards;
Housewarming;
$20 Gift Cards;
Christmas;
Easter;
$50 Gift Cards;
eGift Cards","Bakers Plus","Rock City Grill","Gift Card Offer","07675016402","71884","Variable (5-250);
Fixed
25;50;75;100;200","0","0","Unlimited","LIVE"
"4931","2017-05-19 00:00:00","Wendell August eGift","$100 Gift Cards;
Black Friday;
Couples;
$50 Gift Cards;
Travel;
Thanksgiving;
$25 Gift Cards;
Vacation;
eGift Cards","Bakers Plus","Wendell August","Gift Card Offer","07675016210","70963","Variable (25-300);
Fixed
25;50;75;100;200","31","1","Unlimited","LIVE"
"4930","2017-05-19 00:00:00","Bacalls Café eGift","Congratulations;
Friend;
Birthday;
Graduation;
Christmas;
Restaurants;
Retirement;
Wife;
Valentine's Day;
Easter;
Thank You;
Anniversary;
Housewarming;
Couples;
Occasions;
eGift Cards","Bakers Plus","Bacalls Café","Gift Card Offer","07675013369","66841","
Fixed
25","75","3","Unlimited","LIVE"
"4929","2017-05-19 00:00:00","Alamo Drafthouse Cinemas Gift Cards","Retirement;
$25 Gift Cards;
Husband;
Occasions;
Easter;
$100 Gift Cards;
Wife;
Birthday;
Physical Gift Cards;
Housewarming;
Thank You;
Christmas;
Congratulations;
$50 Gift Cards;
Couples;
Valentine's Day;
Graduation;
Friend;
Anniversary;
Entertainment;
Restaurants","Bakers Plus","Alamo Drafthouse Cinemas","Physical Gift Card Offer","07675016963","72783","Variable (25-500);
Fixed
25;50;75;100;200","3755","67","Unlimited","LIVE"
"4929","2017-05-19 00:00:00","Alamo Drafthouse Cinemas Gift Cards","Retirement;
$25 Gift Cards;
Husband;
Occasions;
Easter;
$100 Gift Cards;
Wife;
Birthday;
Physical Gift Cards;
Housewarming;
Thank You;
Christmas;
Congratulations;
$50 Gift Cards;
Couples;
Valentine's Day;
Graduation;
Friend;
Anniversary;
Entertainment;
Restaurants","Bakers Plus","Alamo Drafthouse Cinemas","Physical Gift Card Offer","07675016963","72783","Variable (25-500);
Fixed
25;50;75;100;200","3755","67","Unlimited","LIVE"
"4928","2017-05-19 00:00:00","Alamo Drafthouse Cinemas eGift Cards","Christmas;
Entertainment;
Congratulations;
$50 Gift Cards;
Couples;
Valentine's Day;
Graduation;
Friend;
Anniversary;
Restaurants;
Retirement;
$25 Gift Cards;
Husband;
Occasions;
Easter;
$100 Gift Cards;
Wife;
Birthday;
Housewarming;
Thank You;
eGift Cards","Bakers Plus","Alamo Drafthouse Cinemas","Gift Card Offer","07675016964","72784","Variable (25-500);
Fixed
25;50;75;100;200","5820","127","Unlimited","LIVE"
"4927","2017-05-19 00:00:00","Aladdin's Eatery eGift Cards","Retirement;
Wife;
Valentine's Day;
Easter;
Thank You;
Restaurants;
Housewarming;
Couples;
Anniversary;
Congratulations;
Friend;
Occasions;
Graduation;
Christmas;
eGift Cards","Bakers Plus","Aladdins Eatery","Gift Card Offer","07675014815","69530","Variable (5-250);
Fixed
25;50;75;100;200","235","7","Unlimited","LIVE"
"4927","2017-05-19 00:00:00","Aladdin's Eatery eGift Cards","Retirement;
Wife;
Valentine's Day;
Easter;
Thank You;
Restaurants;
Housewarming;
Couples;
Anniversary;
Congratulations;
Friend;
Occasions;
Graduation;
Christmas;
eGift Cards","Bakers Plus","Aladdins Eatery","Gift Card Offer","07675014815","69530","Variable (5-250);
Fixed
25;50;75;100;200","235","7","Unlimited","LIVE"
"4926","2017-05-19 00:00:00","Airbnb eGift Cards","Teacher;
Valentine's Day;
Featured;
Wife;
Christmas;
Hotels;
Easter;
$50 Gift Cards;
Husband;
Anniversary;
Popular;
Featured;
Couples;
Black Friday;
Vacation;
Retirement;
$25 Gift Cards;
Thanksgiving;
Occasions;
eGift Cards;
$100 Gift Cards;
Travel","Bakers Plus","Airbnb","Gift Card Offer","07675017219","78538","Variable (25-500);
Fixed
25;50;75;100;200","628605.72","2674","Unlimited","LIVE"
